id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label,Q4
229211,2,I would expect this food item to contain about 6 to 8 ingredients,"Week day lunch,Weekend lunch,At a party",$6 ,The Avengers,Gingerale (Canada Dry),"Friends,Strangers",A moderate amount (medium),Shawarma,6.0
626849,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10.00 ,The Avengers,Pop/Soda,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,10.0
634650,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,Avengers,Coke,Friends,A moderate amount (medium),Shawarma,13.0
632125,2,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$2.50 ,,Water,"Parents,Strangers",A little (mild),Shawarma,2.5
626812,3,5-10,"Week day lunch,Week day dinner,Late night snack",15,no movie,soft drinks,Strangers,A little (mild),Shawarma,15.0
631109,4,8 - 10.,"Week day lunch,Week day dinner,Weekend dinner,At a party",$9-12,"Think of Mulan, which my family and I watched last weekend while eating Shawarma. ",Water,"Parents,Siblings",A moderate amount (medium),Shawarma,10.5
716766,3,"6-8, including the bread, marinated meat, vegetable, sauces, and optional spices or pickles","Week day lunch,Weekend lunch",8 for each wrap,Dangal,coca-cola,"Friends,Strangers",A little (mild),Shawarma,8.0
494103,2,10,"Week day lunch,Week day dinner,Late night snack",15 dollars,The avengers,Coca cola,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,15.0
628102,3,6-8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,You Don't Mess With The Zohan,Water,"Parents,Friends",A moderate amount (medium),Shawarma,12.0
634683,2,5-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8-12 dollars,,Ayran,Friends,A moderate amount (medium),Shawarma,10.0
517774,1,5,"Week day lunch,Week day dinner",10,Interstellar,sprite,Teachers,,Shawarma,10.0
408898,3,7,"Week day lunch,Weekend lunch",7 dollars,Avengers,Water,"Parents,Friends",A little (mild),Shawarma,7.0
603189,4,7,"Week day lunch,Week day dinner,Late night snack",10,Mandoob,Ayran,"Parents,Friends",A moderate amount (medium),Shawarma,10.0
606857,3,6,"Week day lunch,Weekend lunch",6 CAD,The Dictator,Lemon Iced Tea,"Siblings,Friends",A little (mild),Shawarma,6.0
523080,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9 dollars,harry potter,soda,"Parents,Siblings,Friends",A little (mild),Shawarma,9.0
631014,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Prince of Egypt,Water,Friends,A lot (hot),Shawarma,10.0
503957,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,avengers,Ginger Ale,"Friends,Strangers",A moderate amount (medium),Shawarma,10.0
524890,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,The Avengers,Sprite,Friends,A lot (hot),Shawarma,12.0
717411,4,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$7 ,Indian movie,iced tea,Strangers,A little (mild),Shawarma,7.0
525311,2,10,"Week day lunch,Weekend lunch,At a party,Late night snack",$12 ,The Avengers,Lemonade,Friends,A little (mild),Shawarma,12.0
630967,4,4,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",10,The Dictator,Ayran,"Parents,Friends",A little (mild),Shawarma,10.0
604969,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,Avengers,Soda,"Parents,Siblings,Friends,Strangers",A lot (hot),Shawarma,8.0
524480,5,15 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Avengers,Water,"Parents,Friends",,Shawarma,15.0
630121,4,around 20 ingredients,"Week day lunch,Weekend lunch",around $20.00,Aladdin,soft drinks,"Friends,Strangers",A lot (hot),Shawarma,20.0
629615,3,with spices: 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",for a shawarma plate: 12 dollars,Avengers,Barbican,"Parents,Siblings,Friends",A lot (hot),Shawarma,12.0
634977,4,6,"Week day lunch,Weekend lunch,Late night snack",10,Avengers,Fanta,Friends,A moderate amount (medium),Shawarma,10.0
630823,5,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Iron man,coke,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,14.0
632228,3,12,"Week day lunch,Weekend lunch,Late night snack",5 to 8 dollars,The Dictator,coke,"Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Shawarma,6.5
504548,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,The Avengers,Water,Strangers,A moderate amount (medium),Shawarma,15.0
522477,2,"As many as possible, at least more than 10 ingredients","Week day lunch,Week day dinner,Weekend lunch",At most $15.,The Avengers,Coke,"Siblings,Strangers",A moderate amount (medium),Shawarma,15.0
523461,2,12,"Week day lunch,Weekend lunch,At a party",$8 ,Avengers,Soda,Friends,A moderate amount (medium),Shawarma,8.0
312640,3,7-8 between vegetables the bread and meat,"Week day lunch,Weekend lunch",13 dollars for a standard size maybe 15 or 16 for a large,Avengers,leban,Strangers,A moderate amount (medium),Shawarma,14.666666666666666
854745,2,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,Rush hour,Water,Friends,A lot (hot),Shawarma,7.0
711854,3,"Pancake, lettuce, tomato, cucumber, chicken, sauce

6 ingredients","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,Mission: Impossible,Orange juice,Friends,A moderate amount (medium),Shawarma,10.0
739254,4,Around 5 - 10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8 dollars,Aladdin,Water,Siblings,,Shawarma,8.0
621555,4,like 6+ probably? Depends on what toppings you get I guess.,"Week day lunch,Weekend lunch","14$ or so I guess for a bowl, 10ish for a wrap.",That one marvel movie i dont know i dont watch movies.,Pepsi or some other soft drink.,Friends,A lot (hot),Shawarma,12.0
602482,2,3-5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7-9 dollars,IDK,Soda,"Friends,Strangers",A lot (hot),Shawarma,8.0
630416,4,At least 5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5?,"Ratatouille, because the rat cooks food and this is food ",Water :),"Friends,Teachers,Strangers",I will have some of this food item with my hot sauce,Shawarma,5.0
505458,4,2,"Week day dinner,Weekend dinner,Late night snack",10,,Soft,Strangers,A little (mild),Shawarma,10.0
296589,5,"Some sort of meat, rice, tortilla, veggies","Week day dinner,Weekend dinner",Around $8-10,South Park: The End of Obesity,Water,"Parents,Friends",A moderate amount (medium),Shawarma,9.0
604826,4,"7 Ingredients

Lamb

Pita

White Sauce

Yellow Rice

Lettuce

Tomatoes

Corn","Week day lunch,Week day dinner,Weekend lunch",I will expect to pay around 11 dollars for one serving of this food item. ,I think about the movie Avengers when I think of Shawarma. ,I will pair this drink with Sparking Water.,Siblings,A little (mild),Shawarma,11.0
387820,4,5-8 ingredients. ,Weekend lunch,20 CAD.,yeh jawaani hai deewani,fanta,Siblings,A little (mild),Shawarma,20.0
603612,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Avengers,Water,Siblings,,Shawarma,12.0
712252,2,10,"Week day lunch,Weekend lunch",$10 ,The Avengers,Water,Strangers,A moderate amount (medium),Shawarma,10.0
742226,2,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,The Avengers (Post-Credit Scene),Juice,"Friends,Strangers",A moderate amount (medium),Shawarma,10.0
712771,3,3,Week day lunch,20,Dabba,Iced tea,Friends,,Shawarma,20.0
746466,2,7,"Week day lunch,Week day dinner,Weekend lunch",18,Rush Hour,Water,"Friends,Strangers",I will have some of this food item with my hot sauce,Shawarma,18.0
601737,4,"cone, chicken, hummus, garlic sauce, pickled radish, fries, tomato. so 7 ingredients.","Week day lunch,Week day dinner,Weekend lunch",12 dollars,Lawrence of Arabia,coke,Strangers,A little (mild),Shawarma,12.0
631902,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,The Avengers (2012),Water,"Parents,Siblings,Friends,Strangers",,Shawarma,8.0
312320,5,"rice 

onions

hummus

pickles

pickled beets

tahini

chicken or beef shawarma

falafel

lettuce

tomatoes","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","shawarma wrap = $10

shawarma plate = $15",I think of the Cheech & Chong movies when I think of Shawarma,I would pair Coke Cola or bottled water with Shawarma,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Shawarma,12.5
519986,4,8,"Week day lunch,Weekend lunch",11,Avengers,Sprite,"Friends,Strangers",A moderate amount (medium),Shawarma,11.0
626771,4,I would expect this food item to contain between 5 and 8 ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay between $8-15 CAD for one serving of this food item.,I think of the movie The Avengers. They have an entire bit surrounding this food item.,"I would pair this food item with a soda of choice. Mine would be Diet Coke. I would also pair it with water, as it can be salty.","Parents,Friends",A moderate amount (medium),Shawarma,11.5
407257,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,"Soda

Pop

Coke","Parents,Siblings,Friends",A moderate amount (medium),Shawarma,10.0
626883,4,3,"Week day dinner,Weekend dinner",$4-6,Star Wars,Water,"Parents,Siblings,Friends",A little (mild),Shawarma,5.0
727339,2,"At least 3:

- Wrap, meat, vegetables","Week day lunch,Week day dinner,Late night snack",10$,The Avengers,Iced Tea,"Friends,Strangers",,Shawarma,10.0
631448,2,Around 6-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",Around 6-7 dollars,"Ratatouille again, but that's because my knowledge of movies is limited and I barely watch any.",Orange Juice/ Cold water,"Parents,Siblings,Friends,Strangers",A lot (hot),Shawarma,6.5
634885,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$11 ,Shawshank redemption,Water,"Siblings,Friends,Strangers",,Shawarma,11.0
619932,3,10,"Week day lunch,Weekend lunch,Late night snack",$11 ,,Juice,"Parents,Strangers",A little (mild),Shawarma,11.0
601986,4,13,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12.36$,Mad Max,Coke,Strangers,A moderate amount (medium),Shawarma,12.36
631141,3,"3 base, 4 toppings, total 7","Week day lunch,Weekend lunch,Weekend dinner",$12 ,Avengers,Iced Tea,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,12.0
631069,3,10,"Week day lunch,Week day dinner",$12 ,I don't know,Soft Drinks (soda),Friends,A moderate amount (medium),Shawarma,12.0
634508,3,5,"Week day lunch,Week day dinner,Late night snack",$9 ,Aladdin,Coke,Friends,A lot (hot),Shawarma,9.0
206744,3,"7

pita, meat, herbs and spices, sauces, 3 veggies",Weekend lunch,$10 ,The Avengers,Mango juice,"Siblings,Friends",A moderate amount (medium),Shawarma,10.0
498213,4,"at least 8 ingredients, including all the veggies","Week day lunch,Week day dinner,Weekend dinner",one big shawarma wrap could be around 8-10 cad,I think of Middle Eastern/Indian movies but nothing some in mind specifically.,soda. Diet Coke in particular ,"Siblings,Friends",A moderate amount (medium),Shawarma,9.0
627496,2,6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",13.00 dollars,Avengers: Endgame,Fanta,"Friends,Strangers",A lot (hot),Shawarma,13.0
629659,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10$,Endgame,Mango Juice,"Parents,Siblings,Friends",A lot (hot),Shawarma,10.0
630190,2,I would expect this food to contain 6 ingredients.,Week day lunch,8 dollars.,I think of the movie Borat.,"No drink, or iced tea.","Friends,Strangers",A little (mild),Shawarma,8.0
401586,1,10,"Week day lunch,Weekend lunch",12.5,Taken 2,Diet Coke,Friends,A moderate amount (medium),Shawarma,12.5
629263,4,12,"Week day lunch,Week day dinner",$15 ,The Avengers,Coke,"Siblings,Friends,Strangers",A lot (hot),Shawarma,15.0
631678,4,10,"Week day lunch,Weekend lunch",15$,Ferris Bueller’s Day Off,Water,Friends,A moderate amount (medium),Shawarma,15.0
411681,3,6-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,The Avengers,Water,Strangers,A little (mild),Shawarma,12.0
518733,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9 dollars,the dora movie,coke,Parents,A moderate amount (medium),Shawarma,9.0
630378,4,8,Week day lunch,$10 ,The Avengers,Pepsi,Strangers,A lot (hot),Shawarma,10.0
631142,4,8 Ingredients,"Week day lunch,Week day dinner,Weekend lunch",$12 per serving,The Avengers,Sprite,"Parents,Siblings,Friends,Strangers",A moderate amount (medium),Shawarma,12.0
519976,5,"I have no idea, I don't eat that stuff",Weekend lunch,"I have no idea, I don't eat that stuff","I have no idea, I don't eat that stuff","I have no idea, I don't eat that stuff",Friends,,Shawarma,flag
604991,4,13,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,The Avengers,Water,"Parents,Strangers",A moderate amount (medium),Shawarma,12.0
522483,5,1,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$8 ,Nothing,Water,Strangers,,Shawarma,8.0
629723,4,1,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$13 ,The Whale,Pepsi,"Siblings,Friends",A lot (hot),Shawarma,13.0
387522,3,5,"Week day lunch,Week day dinner,Late night snack",15,Avengers,Coca Cola,Friends,A moderate amount (medium),Shawarma,15.0
613484,4,6,"Weekend lunch,Weekend dinner",$8.00 ,Chinese zodiac,Water,Strangers,A lot (hot),Shawarma,8.0
388729,1,I prefer to take around 3 of them.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 15 - 20 dollar !,"It sounds like you're referring to the movie Ratatouille! It’s a Pixar animated film about a rat named Remy who dreams of becoming a great chef despite being a rodent in a profession dominated by humans. The story is set in Paris, and it beautifully blends themes of passion, creativity, and perseverance in the culinary world. Let me know if this is the one you're thinking of!",fruit tea,Friends,,Shawarma,17.5
494373,3,10,Week day lunch,12-Oct,The avengers,Coke zero,Friends,A moderate amount (medium),Shawarma,12.0
630977,5,10 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15 dollars,No movie,Sprite,"Parents,Siblings,Friends",I will have some of this food item with my hot sauce,Shawarma,15.0
621982,2,3,Weekend dinner,12 dollars,The Avengers,coke,Friends,A moderate amount (medium),Shawarma,12.0
605537,2,3,Week day lunch,6,Ratatouille,orange juice,Strangers,A little (mild),Shawarma,6.0
607073,3,5-6,Week day lunch,10-Aug,sci-fic movies,pop drinks,"Parents,Friends",A moderate amount (medium),Shawarma,10.0
624443,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$7 ,The Avengers,Water,Strangers,,Shawarma,7.0
718089,4,5-7,"Week day lunch,Week day dinner",$10-$15,Dictator ,Pepsi,Strangers,A lot (hot),Shawarma,12.5
622727,4,"At least 4 or more depending on the toppings. The bare minimum would be: pita bread, meat, vegetables, condiments.","Week day dinner,Weekend dinner",$8 to $9,The Avengers,"Iced tea, Coca-Cola, or water","Parents,Siblings,Friends",A moderate amount (medium),Shawarma,8.5
609617,5,"4 ingredients: Marinated Chicken, Pita Bread, French Fries, Garlic","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 6$ would be fair value,Avengers,Pepsi,"Parents,Siblings,Friends",,Shawarma,6.0
526064,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,none,Milk,"Parents,Friends",A moderate amount (medium),Shawarma,8.0
609179,4,10+,"Week day lunch,Week day dinner,Weekend dinner",12,Avengers,iced tea,"Friends,Strangers",A moderate amount (medium),Shawarma,12.0
627638,3,Around 10.,"Week day lunch,Weekend lunch,At a party",Around $6.,No movie comes to mind.,A soda or iced tea.,Siblings,,Shawarma,6.0
411117,4,10,"Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$9 ,The Avengers,Mango Juice,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,9.0
634430,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$8.00 ,The Avengers,Pepsi,"Parents,Siblings",A little (mild),Shawarma,8.0
631711,3,"Five ingredients: Bread, chicken, three toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Sonic the Hedgehog,Coke,Strangers,A lot (hot),Shawarma,3.0
606010,4,like 4-8. I really would like my ingredients to be on the lower side because the simpler the better. Also I like this item better in a bowl.,"Week day lunch,Weekend lunch,Late night snack",like 6-10$ USD.,Those commercials by the toronto food man. Za bebsi is the best.,pepsi,"Friends,Strangers",A lot (hot),Shawarma,8.0
631436,4,"I would expect the shawarma to contain 8-9 ingredients, for clarity my response is 9. ","Week day dinner,Weekend dinner","For one shawarma, it should cost $12 according to Osmows. ","I think of the movie 'The Avengers' because in the final scene of the movie, Tony Stark takes the avengers to the Shawarma place. ",I would pair Mountain Dew's Baja Blast with Shawarma. ,Strangers,A little (mild),Shawarma,12.0
633712,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers,Water,"Parents,Siblings,Friends",,Shawarma,10.0
609556,4,14,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 dollar,Aladdin,Water,"Friends,Strangers",A lot (hot),Shawarma,10.0
520090,5,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$9 ,Avengers,Barbican,Friends,A moderate amount (medium),Shawarma,9.0
602234,2,"7 total. The ingredients include one choice of meat, pita bread, olive oil, spices, and about 3 toppings.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I expect to pay $15 for one serving of shawarma.,"When eating shawarma, I think of the movie ""Shrek 2"".",Probably just water. Nothing crazy.,"Parents,Friends",A moderate amount (medium),Shawarma,15.0
741592,4,8,"Week day dinner,Weekend lunch,Weekend dinner",9.99,The Avengers,Juice,"Parents,Strangers",A moderate amount (medium),Shawarma,9.99
628547,4,12,"Week day lunch,Weekend lunch,Late night snack",$15 ,The Avengers,Water,"Siblings,Friends",A lot (hot),Shawarma,15.0
501513,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,3 Idiots,Sprite,Strangers,,Shawarma,10.0
630929,2,5,"Week day lunch,Weekend lunch,Late night snack",$9 ,none,soda,Friends,,Shawarma,9.0
617379,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$9 ,The Avengers,Root Beer,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma,9.0
617310,3,9,"Week day lunch,Weekend lunch,Late night snack",13.99,Avengers ,Lemonade,"Friends,Strangers",A lot (hot),Shawarma,13.99
495424,3,5,Week day lunch,$10 ,Spiderman,Water,Strangers,,Shawarma,10.0
622787,4,10,Week day lunch,8,deadpool 3,chocolate milk,Friends,A moderate amount (medium),Shawarma,8.0
631716,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,21 Jump Street,Water,"Parents,Friends",A moderate amount (medium),Shawarma,13.0
741658,2,"Flour, Oil, Vegetables, Meats.","Week day lunch,Week day dinner,At a party",less than 10 dollars.,The Avengers,No drink,"Siblings,Friends,Teachers",A little (mild),Shawarma,10.0
620745,4,25,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$12-$15,The Avengers,Pop,"Parents,Friends,Strangers",,Shawarma,13.5
611932,2,5,"Week day lunch,Week day dinner,Weekend lunch",$10 ,Not sure,Mango lassi,Strangers,,Shawarma,10.0
635602,4,Around 8-10 depending on the type,"Week day lunch,Weekend lunch","$8-14, depending on size/type",Avengers (2012),iced tea/lemonade,Strangers,I will have some of this food item with my hot sauce,Shawarma,11.0
619892,4,15,"Week day lunch,Weekend lunch",$12.00 ,Chef,lemonade,Friends,A lot (hot),Shawarma,12.0
529289,3,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Slumdog Millionaire,Iced Tea,"Parents,Siblings,Friends,Strangers",A moderate amount (medium),Shawarma,15.0
630738,3,10,"Week day dinner,Weekend dinner,At a party,Late night snack",10,none,water,"Parents,Friends,Strangers",,Shawarma,10.0
524766,5,4,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",15,Avengers,Dairy,Siblings,A little (mild),Shawarma,15.0
522148,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,bollywood,cola,Friends,A little (mild),Shawarma,9.0
601547,5,5+,"Week day lunch,Weekend lunch,At a party",10 per serving,middle eastern movie,water,Friends,,Shawarma,10.0
631046,3,7,Week day lunch,12,How to lose a guy in 10 days,Pepsi,"Parents,Friends,Strangers",A lot (hot),Shawarma,12.0
66222,5,10,"Week day lunch,Late night snack",10,Fast and Furious,Zero sugar coca cola,Strangers,A lot (hot),Shawarma,10.0
603182,3,15,"Week day lunch,Weekend lunch,Weekend dinner",15,,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma,15.0
632117,3,"I would expect 7-10: wrap (pita for example), chicken, cucumber, tomato, lettuce, sauce, and other vegetable toppings like onions, olives, green peppers, jalapeno peppers, banana peppers, and so on. However, this is not counting for the number of ingredients it might take to make the sauce itself.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","One serving of shawarma typically refers to one whole wrap, so about 11 CAD in Toronto.",Ratatouille.,Water.,"Parents,Siblings,Strangers",A lot (hot),Shawarma,11.0
630209,3,More than 5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,The Avengers,Coke,Parents,,Shawarma,10.0
413395,3,6-8,"Week day lunch,Week day dinner",20-Oct,Marvel Movies,Coke or Juice,Friends,A little (mild),Shawarma,20.0
386750,3,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",About 15 - 20 dollars,Burnt,A coca cola ,Friends,,Shawarma,17.5
617178,3,"At the bare minimum it would nee two ingredients. However, on average I would say it has six to eight ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 dollars,I thought of the anime Food Wars.,Nothing in particular– I would say water.,"Parents,Teachers",A lot (hot),Shawarma,10.0
630128,1,3 or a finite amount more,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,The Avengers,Any soft drink,Friends,I will have some of this food item with my hot sauce,Shawarma,10.0
628736,4,I expect it to contain 5 to 8 ingredients. Some people might like to have hummus or tahini sauce or falafel in this food item.,"Week day lunch,Weekend lunch","I wouldn’t pay more than a few hundred turkish lira, unless inflation increases the cost of this food item.","I don’t usually think of any movie when having this food item, but, after using google to refresh my memory, I would say Avengers because of the post-credits scene.","I would have milk and water (in separate cups of course). Milk in case it gets too spicy, and water in case it is too salty.","Friends,Strangers",A lot (hot),Shawarma,flag
747734,3,5,"Week day dinner,Weekend dinner",12-20 dollars,Ponyo,sake,Friends,,Sushi,16.0
517064,4,3-5 ingredients.,"Week day lunch,Week day dinner,Weekend dinner",For a single sushi? $1-2.,Kung Fu Panda,Water,"Parents,Siblings",,Sushi,1.5
387330,1,4,"Week day dinner,Weekend dinner,Late night snack",$13 ,Rush Hour 3,Rice wine,"Parents,Siblings",A little (mild),Sushi,13.0
746750,4,2-4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$20 ,I don't know that many movies fr,water,"Parents,Siblings,Friends",,Sushi,20.0
629285,4,4,Weekend dinner,$11 ,scary movie,milk tea,Friends,,Sushi,11.0
743488,3,3,Weekend lunch,$10.00 for a meal,The Menu,water,"Parents,Siblings",,Sushi,10.0
523710,4,5-10,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$6-18,"Monsters, Inc.",Coke,"Friends,Strangers",A little (mild),Sushi,12.0
635179,5,5,"Week day dinner,Weekend dinner,Late night snack",$13.00 ,John Wick,Water,"Parents,Siblings",,Sushi,13.0
313562,4,6,"Week day lunch,Weekend lunch",$25 ,fast and furious ,water ,"Parents,Siblings,Friends",A little (mild),Sushi,25.0
712670,1,fish and rice so about 2,"Weekend dinner,Late night snack",1 dollar per sushi,"Sushi is from Japan so I would think about a Japanese movie. Your Name, the anime movie.",green tea or water,Friends,A little (mild),Sushi,1.0
635627,4,5,"Week day lunch,Week day dinner,Weekend dinner",$15 ,Kung Fu Panda,Water,Strangers,,Sushi,15.0
524485,2,6,"Week day lunch,Weekend lunch,At a party,Late night snack",40,Finding Nemo,Coke,Friends,,Sushi,40.0
632320,2,"rice, fish, nori","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12 for 6 pieces,your name,water,"Parents,Siblings",A little (mild),Sushi,9.0
633520,5,Anywhere from 5-10,"Week day lunch,Weekend lunch,At a party",~$20,The Emoji Movie ,Water,Friends,,Sushi,20.0
606905,5,5,Weekend dinner,20.99,rush hour,misso soup,"Parents,Friends",,Sushi,20.99
393424,5,5,"Week day dinner,Weekend dinner",10,Rush Hour 2,Sake,Strangers,A little (mild),Sushi,10.0
618333,1,"Rice

meat

wasabi

3 min to 6 

4 being optimal","Weekend lunch,Weekend dinner,At a party",12 CAD,,Soju,Friends,A lot (hot),Sushi,12.0
628558,2,5,"Weekend lunch,Weekend dinner,At a party",$25 ,"Isle of Dogs, this film =showcases a chef making a poisoned sushi.",miso soup,"Parents,Siblings",,Sushi,25.0
613776,4,"Depends on the roll, but on average 5","Weekend lunch,Weekend dinner","One serving for me would at least have to be 8 rolls, and I expect to pay $12.",John Wick: Chapter 3 - Parabellum,Jasmine Tea,Parents,,Sushi,10.0
317214,5,"I would expect one sushi to only contain rice, maybe nori, and definitely some type of fish. So a small platter of sushi would contain at least 10 different ingredients.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay at least 20 for a small platter of sushi,I don't think of any movie.,A tea would pair well,"Parents,Siblings,Friends",A little (mild),Sushi,20.0
628093,5,6,Weekend lunch,$30.00 ,Cars 2.,Water,"Parents,Siblings,Friends",A moderate amount (medium),Sushi,30.0
411781,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,"Crazy, stupid, love",Coke Zero,Friends,A little (mild),Sushi,11.0
525567,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Crazy Rich Asians,Water,Friends,A little (mild),Sushi,10.0
634455,4,2-4,"Weekend dinner,Late night snack",8,,Soju,Friends,A moderate amount (medium),Sushi,8.0
498848,3,8,"Weekend lunch,Weekend dinner",$12 ,Kill Bill,Sake,"Friends,Strangers",,Sushi,12.0
638838,5,7,At a party,$25.00 ,Big Hero 6,Water,Strangers,,Sushi,25.0
411253,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,Tokyo Drift,sprite,"Parents,Siblings,Friends",,Sushi,8.0
410165,5,7,"Week day dinner,Weekend dinner",25,ratatouille,water,Strangers,,Sushi,25.0
608554,5,4,"Week day dinner,Weekend dinner",20,Breaking Bad,Water,Friends,,Sushi,20.0
602394,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,Monsters Inc,Water,"Siblings,Friends",,Sushi,10.0
743623,4,"4-5: Rice, Nori, Seafood, Vegetables","Week day lunch,Weekend lunch,At a party,Late night snack","$20 for high-class sushi, 8 pieces",A Silent Voice,Water or Jarritos,Friends,,Sushi,14.0
